no;kata;replace
1;aku;saya
2;loe;kamu
3;jahatt;jahat
4;aamiin;amin
5;abah;ayah
6;abis;habis
7;abs;asal bapak senang
8;ad;ada
9;adem;dingin
10;adi;adik
11;adl;adalah
12;adlh;adalah
13;agreement;persetujuan
14;ah;kecewa
15;ahahaha;tertawa
16;aja;jangan
17;akyu;saya
18;also;juga
19;alutisista;alutsista
20;alutista;alutsista
21;ama;dan
22;amiinn;amin
23;ampe;sampai
24;anceman;ancaman
25;and;dan
26;anda;kamu
27;andal;ahli
28;anjay;gilee
29;apk;apik
30;aq;saya
31;asbun;asal bunyi
32;babeh;bapak
33;bacot;banyak omong
34;bapa;bapak
35;baper;bawa perasaan
36;bareng;bersama
37;barengjokowi;bersama jokowi
38;belio;beliau
39;bellum;belum
40;bener;benar
41;benning;cantik
42;beranta;berantas
43;beres;selesai
44;bersit;bersih
45;beud;banget
46;bgs;bagus
47;bgt;banget
48;bhw;bahwa
49;biassaa;biasa
50;bikin;membuat
51;bingits;banget
52;bkn;bukan
53;bla;bila
54;blio;beliau
55;blm;belum
56;blok;belum
57;bnyak;banyak
58;bobo;tidur
59;bobot;timbangan
60;bobotohngahiji;bobotoh
61;bodo;bodoh
62;bpk;bapak
63;bpn;badan pemenangan nasional
64;brangkat;berangkat
65;bravo;bagus
66;bravoo;bagus
67;bray;bro
68;brbnah;berbenah
69;break;istirahat
70;brharap;berharap
71;broh;bro
72;brsama;bersama
73;brtahan;bertahan
74;bs;bisa
75;buser;buzzer
76;butzybqt;butuh banget
77;byk;banyak
78;capa;siapa
79;capai;capai
80;capres;calon presiden
81;capresku;calon presidenku
82;capresnya;calon presidenya
83;carakter;karakter
84;cawapres;calon wakil presiden
85;cebi;cebong
86;cebongs;cebong
87;cepet;cepat
88;coblooosss;coblos
89;core;inti
90;crying;menangis
91;culi;culik
92;dah;sudah
93;damage;kerusakan
94;dapet;dapat
95;ddiplomasihy;diplomasi
96;defenseless;tidak berdaya
97;dennger;denger
98;dg;dengan
99;dgn;dengan
100;diboongin;dibohongin
101;dibrikan;diberikan
102;didiemin;didiamkan
103;dihrpkn;diharapkan
104;dil;dilan
105;dng;dengan
106;dngn;dengan
107;dooong;dong
108;dpt;dapat
109;dr;dari
110;drpd;daripada
111;duuuhhh;duh
112;dy;dia
113;ehlgdl;eh lagi di
